	count	period	signal
0	113		
1	3	2.2901785714285716	3.0000000000000004
2	481		
3	433		
4	139	430.0	46.868574379313905
5	92		
6	29	2.0027700831024933	15.0
7	85		
8	90	5.066666666666666	23.99726577365414
9	19	2.6486486486486487	11.642972184101483
10	112		
11	225	1086.0	92.10295834760923
12	165		
13	2091		
14	4	2.435382685069009	3.9392076843953125
15	1230		
16	0		
17	3	2.9202127659574466	2.985294380085692
18	243		
19	68	8.912621359223301	24.156585599529897
20	61	31.659574468085108	23.09696188520929
21	55	367.0	52.29496142463795
22	0		
23	0		
24	15	2.1104441776710683	10.77462839061723
25	37		
26	18	2.0718232044198897	10.653101865952028
27	538		
28	20	3.2245508982035926	13.334854152535875
29	14	2.06	10.4542619941441
30	2	2.5051546391752577	2.0
31	85		
32	76		
33	160		
34	17	38.125	9.637148995789556
35	15	2.6780821917808217	9.252467310009804
36	33		
37	480		
38	41	5.5423728813559325	18.88560013352874
39	35	104.4	19.253677408140337
40	29		
41	545		
42	16	11.6875	11.68104671687988
43	122		
44	36	3.032171581769437	18.702212489802342
45	72	290.0	38.37776312737888
46	36	26.168316831683168	17.83577375945205
47	85	197.5	28.25816571276747
48	24	3.6539792387543253	13.647243496900012
49	277		
50	226		
51	7	3.15041782729805	6.791208054015804
52	308	370.5	67.35341453049725
53	79	1202.25	33.77029384563387
54	80	2.159737417943107	24.514328632895452
55	18	18.43548387096774	9.787487992886005
56	0		
57	394	1368.0	147.7908480203277
58	359		
59	22		
60	20	6.08411214953271	11.909343741202902
61	3	3.116621983914209	2.99490500902808
62	36	10.00925925925926	16.734985087844567
63	55	25.772727272727273	24.142812943036517
64	61	6.955156950672646	23.255975189983694
65	39		
66	47		
67	366		
68	7	2.2248062015503876	6.302799154262439
69	6	2.020533880903491	5.501738497516035
70	0		
71	58		
72	204		
73	33		
74	38		
75	16	5.542936288088643	10.71736181830648
76	166		
77	1	8.389380530973451	1.0000000000000007
78	22	3.108527131782946	12.349016681320467
79	141		
80	24	4.511111111111111	14.101628631371778
81	48	784.0	21.237135299169328
82	103		
83	53	2.2857142857142856	17.418843224102528
84	80		
85	822		
86	32	2.2766798418972334	15.241391474081048
87	153	540.75	58.68299578169791
